basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TD,Tropical Depression,AL012008,2008,06,01,12,55.5,800.64,40253.6875
NA,North Atlantic,TD,Tropical Depression,AL012008,2008,06,01,18,55.5,800.31,48519.125
NA,North Atlantic,TD,Tropical Depression,AL012008,2008,06,02,00,46.25,744.42,50489.375
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,26,18,46.25,841.84,21667.8125
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,27,00,46.25,860.91,8770.25
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,27,06,46.25,696.02,8915.4375
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,27,12,46.25,774.98,11167.0625
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,27,18,46.25,648.25,8473.3125
NA,North Atlantic,TD,Tropical Depression,AL012010,2010,06,24,18,46.25,750.78,24801.4375
NA,North Atlantic,TD,Tropical Depression,AL012010,2010,06,25,00,46.25,1076.93,39837.5625
NA,North Atlantic,TD,Tropical Depression,AL012010,2010,06,25,06,46.25,755.37,27758.0625
NA,North Atlantic,TD,Tropical Depression,AL012010,2010,06,25,12,55.5,763.54,28971.25
NA,North Atlantic,TD,Tropical Depression,AL012010,2010,06,25,18,55.5,957.67,41696.625
NA,North Atlantic,TD,Tropical Depression,AL012010,2010,06,26,00,55.5,1001.13,61960.25
NA,North Atlantic,TD,Tropical Depression,AL012010,2010,07,02,00,55.5,792.37,44120.6875
NA,North Atlantic,TD,Tropical Depression,AL012011,2011,06,28,06,46.25,704.27,37701.375
NA,North Atlantic,TD,Tropical Depression,AL012011,2011,06,28,12,55.5,840.81,41448.8125
NA,North Atlantic,TD,Tropical Depression,AL012011,2011,07,01,00,55.5,725.59,39490.8125
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,19,00,46.25,861.26,17481.9375
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,19,06,55.5,150.97,2082.0
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,22,12,55.5,1718.9,18210.9375
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,22,18,55.5,772.7,8850.3125
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,23,00,46.25,1015.45,5123.375
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,23,06,46.25,963.69,5329.0
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,28,18,37.0,486.19,8879.125
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,29,00,37.0,696.55,4705.5625
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,29,06,37.0,258.02,2926.0
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,29,12,37.0,341.14,3449.875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,29,18,46.25,449.89,5763.9375
