category,category_label,metric_group,metric,basin_code,basin,n,mean,lower_whisker,q1,median,q3,upper_whisker,outlier_count
MAJ_HUR,Major Hurricane,radius,RNE,NA,North Atlantic,534,687.4170224719102,210.05,484.0775,688.5550000000001,837.8924999999999,1343.74,5
MAJ_HUR,Major Hurricane,radius,RNE,EP,Eastern Pacific,561,590.510606060606,0.0,381.09,606.25,761.84,1305.05,4
MAJ_HUR,Major Hurricane,radius,RNW,NA,North Atlantic,534,495.93760299625455,37.77,359.735,446.935,604.125,956.11,11
MAJ_HUR,Major Hurricane,radius,RNW,EP,Eastern Pacific,561,403.120606060606,0.0,263.59,354.41,527.16,917.25,9
MAJ_HUR,Major Hurricane,radius,RSW,NA,North Atlantic,534,553.6372846441948,43.56,363.035,549.8050000000001,728.3,1193.46,1
MAJ_HUR,Major Hurricane,radius,RSW,EP,Eastern Pacific,561,625.798734402852,0.0,438.3,705.25,795.94,1177.7,0
MAJ_HUR,Major Hurricane,radius,RSE,NA,North Atlantic,534,686.3832584269663,167.37,520.5450000000001,706.1600000000001,820.7524999999999,1267.72,5
MAJ_HUR,Major Hurricane,radius,RSE,EP,Eastern Pacific,561,681.140303030303,145.39,557.62,718.74,833.34,1240.11,13
MAJ_HUR,Major Hurricane,structure,A,NA,North Atlantic,534,0.4938014981273408,0.04,0.38,0.51,0.62,0.95,0
MAJ_HUR,Major Hurricane,structure,A,EP,Eastern Pacific,561,0.5554188948306596,0.08,0.43,0.57,0.69,1.0,0
MAJ_HUR,Major Hurricane,structure,D,NA,North Atlantic,534,0.26676029962546816,0.04,0.2,0.26,0.33,0.51,0
MAJ_HUR,Major Hurricane,structure,D,EP,Eastern Pacific,561,0.31019607843137254,0.04,0.21,0.28,0.37,0.6,24
MAJ_HUR,Major Hurricane,structure,S,NA,North Atlantic,534,0.33331460674157304,0.08,0.24,0.32,0.41,0.65,7
MAJ_HUR,Major Hurricane,structure,S,EP,Eastern Pacific,561,0.2753475935828877,0.0,0.19,0.26,0.35,0.59,13
