x,TD,TS,MIN_HUR,MAJ_HUR
0,3.645491857413014,7.752523839193017,14.665663377193328,21.281619552741653
50,3.768875342171094,7.557973268679141,13.367716757279961,17.83250098187979
100,3.632731792904421,6.347420108410013,9.262101836211084,10.962307264999783
150,3.1813079407807607,4.702268006917447,5.57596926134059,6.251284586820489
200,2.621475287974357,3.3662156485480477,3.430062578201627,3.8750845372116145
250,2.1177959357019613,2.4622583611250275,2.3057649253024324,2.6449058238832355
300,1.7347733980258884,1.8717815689846056,1.659807545145835,1.9674266678837855
350,1.4476245576753028,1.4830530729279956,1.292249517238169,1.5563072293221787
400,1.2541573708874805,1.2297284880438435,1.0578556800110976,1.2615169578276249
450,1.1122793926103607,1.0658743064778802,0.9129672096429872,1.0647133745268087
500,1.0109986042837273,0.9566691285610829,0.8133268382772673,0.9471927418760596
550,0.9364994389209609,0.8774671151754695,0.7474961228307457,0.8810373188886209
600,0.8726517418824822,0.8092777002826703,0.6905292870829418,0.8344158513344989
650,0.8158329217790341,0.7573744473469839,0.6618810278503519,0.78013584819989
700,0.7639585639795916,0.7169715416477126,0.6488626671116564,0.7476867136624037
750,0.7227829930314618,0.6883951436290862,0.6373927593948298,0.7129357890287611
800,0.6866299440344744,0.6671722464150776,0.6184575710987527,0.6761469240863284
850,0.6604577958071908,0.6430474295006356,0.5994216234454922,0.6430073739023784
900,0.6410536630857612,0.617666142627281,0.5884512506390104,0.6195007870278301
950,0.605163715657237,0.5954180080782948,0.5718610904701487,0.6024855116303254
1000,0.5654681763690735,0.5740196774430113,0.5587724303271568,0.6164581925852803
1050,0.5427635968855152,0.5518994047305752,0.5615436224483514,0.6228775232355379
1100,0.49125521476684525,0.5235529615307275,0.5680562555525562,0.6169837474831743
1150,0.4178309669046604,0.5041178806021009,0.5510062477635445,0.5687025721113499
1200,0.3342631774143559,0.47808176626055987,0.5190840877493405,0.49263523870600684
1250,0.2525506689540236,0.42564155566854983,0.506514763845757,0.43188037504415333
1300,0.2035729078024974,0.367326781193104,0.4552054815035347,0.36715916620876965
1350,0.16596843999919683,0.3050602505563427,0.3783778067059826,0.28819738525217337
1400,0.1253746445346924,0.24210182152747994,0.3167077808152887,0.24342071288342304
1450,0.08957992063588395,0.20128067356073584,0.2681186467139143,0.16517773214912843
1500,0.06910049179166747,0.16581733322826356,0.2015815809269104,0.11929590533484312
1550,0.043940878345331294,0.12161717331146178,0.1253541542851539,0.06999655262609647
1600,0.03430325508856159,0.09171215886780106,0.1136802809399683,0.06271019696657833
1650,0.030181398469783856,0.06852383665246362,0.09433082175574102,0.05237068572021945
1700,0.024851362711228012,0.05283084947549871,0.08127919535314164,0.033743020781854774
1750,0.020792295110231947,0.037651817971553224,0.04356174554758569,0.02665341899476268
1800,0.016630678614604398,0.028741680827104394,0.029313547811346444,0.023197885768723784
1850,0.01341188737578348,0.02132136837806312,0.022072274054091488,0.01687493497993857
1900,0.009872157943956175,0.016457384704507628,0.017836020883399775,0.00834952488229502
1950,0.009106142965376431,0.012763692568167083,0.014844537455081148,0.004885030709499237
