x,TD,TS,MIN_HUR,MAJ_HUR
0,3.3244716505130656,5.9476306931180325,11.806551298042608,18.418760288463343
50,3.292125754646333,5.916896298744058,12.235889349815467,18.485306039020724
100,2.9771364576245345,5.190814357605901,9.241493034565,11.77143435282162
150,2.5743861643067882,4.146149919401319,6.2116488241376695,6.831796503348639
200,2.1840204611034864,3.2200135372115417,4.294067238988628,4.500528201596982
250,1.8629878889689884,2.4981728755049444,3.062099809895212,3.188434722250307
300,1.6101096829628931,1.9842289700078832,2.235329073063739,2.3117941131323656
350,1.4031363558779049,1.6220791156063838,1.67491123978635,1.6844171827613355
400,1.2262256076579208,1.3493499226566092,1.2843736334941922,1.242296273996875
450,1.0806906990132708,1.1361126464468385,1.0337711855760365,0.9666731843573289
500,0.9627385688055294,0.978375246579501,0.8726262629206295,0.7892640510431979
550,0.8591945302630404,0.8688156043989406,0.7532554957101232,0.6766725196163305
600,0.7832077376069064,0.7765194197871873,0.6729203530130241,0.6038961486795094
650,0.7214139594284801,0.704560913305043,0.6229330040497603,0.5567275033770069
700,0.6726666357244774,0.6529410799973207,0.5757771565670047,0.5219727780854755
750,0.6283513196625301,0.613431418541536,0.534770669673098,0.4772305254520238
800,0.5901716739291925,0.5793236385896972,0.5118357651247658,0.4429934874963419
850,0.5590911345587988,0.5559546313731059,0.4881819564929804,0.42599988919455317
900,0.5326108897176535,0.5374245546707047,0.45466484750421293,0.42125324535510833
950,0.5124679365087637,0.5185869237840665,0.438997855479914,0.4172865056168978
1000,0.5001405074724223,0.5007274068455917,0.43759584615755476,0.4022106567468078
1050,0.47514072310208655,0.4922938452697547,0.4497391173115653,0.3997624475974389
1100,0.4487321014836166,0.4892661998350812,0.42458447457549303,0.3836998260745583
1150,0.4303804288796508,0.4898979018684154,0.43363142441022756,0.3718421333328256
1200,0.3902124090172289,0.4735460219405823,0.4213961026079002,0.32560409773824683
1250,0.33631429215797626,0.44231223595114966,0.3976001216460887,0.2996504725772368
1300,0.29453299707695896,0.4131345107498233,0.3810041656543099,0.2783298597511149
1350,0.24732896774741592,0.3898127750895974,0.34250025252949273,0.21702793759416333
1400,0.20883616804401192,0.3462859285408903,0.29534854801328275,0.19280552956415922
1450,0.17263094655812855,0.284195636772091,0.23749481042699513,0.15267659893707455
1500,0.1432405975301843,0.23460879482424904,0.20750104225834667,0.13150282277807984
1550,0.1135724077335042,0.1936895602032062,0.1565505926462253,0.10064434616776141
1600,0.0990969843418231,0.17087671648338204,0.132545130073492,0.08395321444082761
1650,0.08178530173467241,0.1477084130607664,0.11634154337408505,0.07173331769527233
1700,0.07271892567372325,0.12617358524821987,0.09475319523045074,0.07361265630323485
1750,0.058149686824090475,0.10357521601068666,0.08258711609345006,0.04698177748231687
1800,0.04543665037647933,0.08372005144931606,0.06627693972690857,0.029970733578649395
1850,0.03676330163460916,0.07109866356527722,0.05784471299352459,0.018450847042075703
1900,0.03385873027951542,0.05946059852022901,0.04412364845755495,0.012336870308351539
1950,0.03369907276980249,0.05363099442049791,0.04388828824560727,0.011113247977158104
